"Username","Condition.Number","Condition.Description","Stimuli.Cue","Stimuli.Answer","Stimuli.Shuffle","Stimuli.Stimuli.Notes","VC.RT","Response.JOL","Response.RT.1","Response.Response","Response.Accuracy","Recall_Score"
"960689",1,"Version A","CREDIT","CARD","Study1","F",8526,3,369,"",0,0
"w10008086",1,"Version A","CREDIT","CARD","Study1","F",3966,3,3041,"card",100,100
"w10015958",1,"Version A","CREDIT","CARD","Study1","F",2443,3,2824,"",0,0
"w10020847",1,"Version A","CREDIT","CARD","Study1","F",2591,3,2474,"EXTRA",22.222222222222,0
"w10033223_tag",1,"Version A","CREDIT","CARD","Study1","F",7235,3,4196,"card",100,100
"W10061905",1,"Version A","CREDIT","CARD","Study1","F",5330,3,650,"",0,0
"214402",1,"Version A","DARK","CAVE","Study1","B",2813,3,1731,"",0,0
"960689",1,"Version A","DARK","CAVE","Study1","B",2554,3,381,"",0,0
"w10008086",1,"Version A","DARK","CAVE","Study1","B",2364,3,3010,"light",0,0
"w10015958",1,"Version A","DARK","CAVE","Study1","B",4263,3,613,"",0,0
"w10020847",1,"Version A","DARK","CAVE","Study1","B",4196,3,2712,"Mode",25,0
"w10033223_tag",1,"Version A","DARK","CAVE","Study1","B",3784,3,3242,"",0,0
"W10061905",1,"Version A","DARK","CAVE","Study1","B",26041,3,284,"",0,0
"214402",1,"Version A","DEATH","BUSINESS","Study1","U",3843,4,4812,"cofffin",26.666666666667,0
"960689",1,"Version A","DEATH","BUSINESS","Study1","U",6563,5,178,"",0,0
"w10008086",1,"Version A","DEATH","BUSINESS","Study1","U",-25137,5,4925,"alive",30.769230769231,0
"w10015958",1,"Version A","DEATH","BUSINESS","Study1","U",6723,5,1896,"",0,0
"w10020847",1,"Version A","DEATH","BUSINESS","Study1","U",6981,5,5742,"CERIFICATE",11.111111111111,0
"w10033223_tag",1,"Version A","DEATH","BUSINESS","Study1","U",6347,5,19450,"casket",28.571428571429,0
"W10061905",1,"Version A","DEATH","BUSINESS","Study1","U",27571,5,489,"",0,0
"214402",1,"Version A","DEBATE","SIGHT","Study1","U",3495,4,1877,"",0,0
"960689",1,"Version A","DEBATE","SIGHT","Study1","U",5066,4,311,"",0,0
"w10008086",1,"Version A","DEBATE","SIGHT","Study1","U",4377,4,3505,"discussion",26.666666666667,0
"w10015958",1,"Version A","DEBATE","SIGHT","Study1","U",3401,4,682,"",0,0
"w10020847",1,"Version A","DEBATE","SIGHT","Study1","U",5589,4,4325,"POLICY",18.181818181818,0
"w10033223_tag",1,"Version A","DEBATE","SIGHT","Study1","U",9827,4,1769,"",0,0
"W10061905",1,"Version A","DEBATE","SIGHT","Study1","U",6322,4,323,"",0,0
"214402",1,"Version A","DELINQUENT","BAD","Study1","F",4927,5,909,"",0,0
"960689",1,"Version A","DELINQUENT","BAD","Study1","F",6371,5,415,"",0,0
"w10008086",1,"Version A","DELINQUENT","BAD","Study1","F",60237,5,4378,"child",25,0
"w10015958",1,"Version A","DELINQUENT","BAD","Study1","F",3242,4,642,"",0,0
"w10020847",1,"Version A","DELINQUENT","BAD","Study1","F",6274,5,5421,"KID",33.333333333333,0
"w10033223_tag",1,"Version A","DELINQUENT","BAD","Study1","F",6326,5,3640,"kid",33.333333333333,0
"W10061905",1,"Version A","DELINQUENT","BAD","Study1","F",735,NA,408,"",0,0
"214402",1,"Version A","DIETARY","SACKING","Study1","U",3602,5,3839,"",0,0
"960689",1,"Version A","DIETARY","SACKING","Study1","U",4928,5,333,"",0,0
"w10008086",1,"Version A","DIETARY","SACKING","Study1","U",3152,4,3199,"pill",18.181818181818,0
"w10015958",1,"Version A","DIETARY","SACKING","Study1","U",4824,5,652,"",0,0
"w10020847",1,"Version A","DIETARY","SACKING","Study1","U",10838,6,6958,"SUPPLIMENT",35.294117647059,0
"w10033223_tag",1,"Version A","DIETARY","SACKING","Study1","U",5404,5,1372,"",0,0
"W10061905",1,"Version A","DIETARY","SACKING","Study1","U",5396,5,681,"",0,0
"214402",1,"Version A","DIGESTION","STOMACH","Study1","F",5874,6,3623,"stomach",100,100
"960689",1,"Version A","DIGESTION","STOMACH","Study1","F",4999,6,1619,"",0,0
"w10008086",1,"Version A","DIGESTION","STOMACH","Study1","F",3227,6,4650,"hungry",15.384615384615,0
"w10015958",1,"Version A","DIGESTION","STOMACH","Study1","F",3305,6,5658,"stomach",100,100
"w10020847",1,"Version A","DIGESTION","STOMACH","Study1","F",5249,6,2553,"PILLS",16.666666666667,0
"w10033223_tag",1,"Version A","DIGESTION","STOMACH","Study1","F",23809,6,3959,"stomach",100,100
"W10061905",1,"Version A","DIGESTION","STOMACH","Study1","F",24022,6,316,"",0,0
"214402",1,"Version A","DISCOVER","FLOOR","Study1","U",3277,5,901,"",0,0
"960689",1,"Version A","DISCOVER","FLOOR","Study1","U",6140,5,466,"",0,0
"w10008086",1,"Version A","DISCOVER","FLOOR","Study1","U",4120,5,1100,"",0,0
"w10015958",1,"Version A","DISCOVER","FLOOR","Study1","U",3031,5,827,"",0,0
"w10020847",1,"Version A","DISCOVER","FLOOR","Study1","U",5385,5,5904,"ISLAND",18.181818181818,0
"w10033223_tag",1,"Version A","DISCOVER","FLOOR","Study1","U",5827,5,5819,"",0,0
"W10061905",1,"Version A","DISCOVER","FLOOR","Study1","U",21679,5,751,"",0,0
"214402",1,"Version A","DISCUSSION","TALK","Study1","F",4206,5,7532,"",0,0
"960689",1,"Version A","DISCUSSION","TALK","Study1","F",4842,5,261,"",0,0
"w10008086",1,"Version A","DISCUSSION","TALK","Study1","F",3789,5,4341,"talk",100,100
"w10015958",1,"Version A","DISCUSSION","TALK","Study1","F",3759,5,610,"",0,0
"w10020847",1,"Version A","DISCUSSION","TALK","Study1","F",5043,4,2556,"POST",25,0
"w10033223_tag",1,"Version A","DISCUSSION","TALK","Study1","F",52500,5,1661,"",0,0
"W10061905",1,"Version A","DISCUSSION","TALK","Study1","F",6640,5,334,"",0,0
"214402",1,"Version A","DRINK","SIP","Study1","B",2251,2,1009,"",0,0
"960689",1,"Version A","DRINK","SIP","Study1","B",2591,2,2827,"",0,0
"w10008086",1,"Version A","DRINK","SIP","Study1","B",2522,2,2206,"",0,0
"w10015958",1,"Version A","DRINK","SIP","Study1","B",4032,2,550,"",0,0
"w10020847",1,"Version A","DRINK","SIP","Study1","B",4418,2,3610,"WATER",0,0
"w10033223_tag",1,"Version A","DRINK","SIP","Study1","B",3736,2,3321,"water",0,0
"W10061905",1,"Version A","DRINK","SIP","Study1","B",6181,2,522,"",0,0
"214402",1,"Version A","DUE","ASSIGNMENT","Study1","S",4361,5,4623,"asssignment",95.238095238095,100
"960689",1,"Version A","DUE","ASSIGNMENT","Study1","S",5048,5,316,"",0,0
"w10008086",1,"Version A","DUE","ASSIGNMENT","Study1","S",5128,5,4047,"late",28.571428571429,0
"w10015958",1,"Version A","DUE","ASSIGNMENT","Study1","S",3588,5,551,"",0,0
"w10020847",1,"Version A","DUE","ASSIGNMENT","Study1","S",4889,5,3044,"DATE",28.571428571429,0
"w10033223_tag",1,"Version A","DUE","ASSIGNMENT","Study1","S",9601,5,5963,"assignment",100,100
"W10061905",1,"Version A","DUE","ASSIGNMENT","Study1","S",10334,5,371,"",0,0
"214402",1,"Version A","DUMP","WASTE","Study1","S",3984,3,1405,"",0,0
"960689",1,"Version A","DUMP","WASTE","Study1","S",4351,3,609,"",0,0
"w10008086",1,"Version A","DUMP","WASTE","Study1","S",2418,3,4867,"truck",20,0
"w10015958",1,"Version A","DUMP","WASTE","Study1","S",2280,3,531,"",0,0
"w10020847",1,"Version A","DUMP","WASTE","Study1","S",6147,3,5435,"YARD",22.222222222222,0
"w10033223_tag",1,"Version A","DUMP","WASTE","Study1","S",11550,3,6988,"throw",20,0
"W10061905",1,"Version A","DUMP","WASTE","Study1","S",7230,3,1554,"",0,0
"214402",1,"Version A","EDITOR","NEWS","Study1","F",3803,4,2537,"",0,0
"960689",1,"Version A","EDITOR","NEWS","Study1","F",2876,4,2485,"",0,0
"w10008086",1,"Version A","EDITOR","NEWS","Study1","F",4454,4,75421,"book",0,0
"w10015958",1,"Version A","EDITOR","NEWS","Study1","F",3380,4,777,"",0,0
"w10020847",1,"Version A","EDITOR","NEWS","Study1","F",3682,4,2986,"PAPER",22.222222222222,0
"w10033223_tag",1,"Version A","EDITOR","NEWS","Study1","F",5202,4,3741,"writer",20,0
"W10061905",1,"Version A","EDITOR","NEWS","Study1","F",1517,NA,717,"",0,0
"214402",1,"Version A","FIRE","BLAZE","Study1","B",4642,4,2296,"hot",0,0
"960689",1,"Version A","FIRE","BLAZE","Study1","B",10466,4,300,"",0,0
"w10008086",1,"Version A","FIRE","BLAZE","Study1","B",2621,4,6373,"",0,0
"w10015958",1,"Version A","FIRE","BLAZE","Study1","B",2664,4,664,"",0,0
"w10020847",1,"Version A","FIRE","BLAZE","Study1","B",2564,4,3422,"HOUSE",20,0
"w10033223_tag",1,"Version A","FIRE","BLAZE","Study1","B",3754,4,3832,"",0,0
"W10061905",1,"Version A","FIRE","BLAZE","Study1","B",5427,4,698,"",0,0
"214402",1,"Version A","FIX","HAND","Study1","U",2776,2,4034,"",0,0
"960689",1,"Version A","FIX","HAND","Study1","U",4023,2,288,"",0,0
"w10008086",1,"Version A","FIX","HAND","Study1","U",2630,2,324870,"hammer",40,0
"w10015958",1,"Version A","FIX","HAND","Study1","U",1635,2,474,"",0,0
"w10020847",1,"Version A","FIX","HAND","Study1","U",2972,2,4002,"UPPER",0,0
"w10033223_tag",1,"Version A","FIX","HAND","Study1","U",10625,2,4665,"repair",20,0
"W10061905",1,"Version A","FIX","HAND","Study1","U",4742,2,503,"",0,0
"214402",1,"Version A","FULL","ENOUGH","Study1","B",4066,4,1211,"",0,0
"960689",1,"Version A","FULL","ENOUGH","Study1","B",5019,4,239,"",0,0
"w10008086",1,"Version A","FULL","ENOUGH","Study1","B",4977,4,6352,"empty",18.181818181818,0
"w10015958",1,"Version A","FULL","ENOUGH","Study1","B",4108,4,6871,"",0,0
"w10020847",1,"Version A","FULL","ENOUGH","Study1","B",5415,4,3542,"HOUSE",36.363636363636,0
"w10033223_tag",1,"Version A","FULL","ENOUGH","Study1","B",8679,4,3145,"",0,0
"W10061905",1,"Version A","FULL","ENOUGH","Study1","B",18629,3,945,"",0,0
"214402",1,"Version A","GEOLOGY","ROCK","Study1","F",4327,4,3179,"rock",100,100
"960689",1,"Version A","GEOLOGY","ROCK","Study1","F",4012,4,2975,"",0,0
"w10008086",1,"Version A","GEOLOGY","ROCK","Study1","F",4241,4,2195,"rock",100,100
"w10015958",1,"Version A","GEOLOGY","ROCK","Study1","F",5080,4,4260,"rock",100,100
"w10020847",1,"Version A","GEOLOGY","ROCK","Study1","F",891,3,3126,"ROCK",100,100
"w10033223_tag",1,"Version A","GEOLOGY","ROCK","Study1","F",5738,4,4472,"rock",100,100
"W10061905",1,"Version A","GEOLOGY","ROCK","Study1","F",22820,4,352,"",0,0
"214402",1,"Version A","GREAT","FANTASTIC","Study1","B",5200,5,2004,"",0,0
"960689",1,"Version A","GREAT","FANTASTIC","Study1","B",12120,5,433,"",0,0
"w10008086",1,"Version A","GREAT","FANTASTIC","Study1","B",4808,5,2749,"good",0,0
"w10015958",1,"Version A","GREAT","FANTASTIC","Study1","B",3922,5,1035,"",0,0
"w10020847",1,"Version A","GREAT","FANTASTIC","Study1","B",4666,4,2732,"JOB",0,0
"w10033223_tag",1,"Version A","GREAT","FANTASTIC","Study1","B",8219,5,2340,"",0,0
"W10061905",1,"Version A","GREAT","FANTASTIC","Study1","B",14033,5,348,"",0,0
"214402",1,"Version A","GRILL","BAR","Study1","S",1856,2,1997,"bar",100,100
"960689",1,"Version A","GRILL","BAR","Study1","S",3750,2,343,"",0,0
"w10008086",1,"Version A","GRILL","BAR","Study1","S",2515,2,1616,"",0,0
"w10015958",1,"Version A","GRILL","BAR","Study1","S",2442,2,1590,"",0,0
"w10020847",1,"Version A","GRILL","BAR","Study1","S",2718,2,3542,"FIRE",28.571428571429,0
"w10033223_tag",1,"Version A","GRILL","BAR","Study1","S",3826,2,4631,"bar",100,100
"W10061905",1,"Version A","GRILL","BAR","Study1","S",4793,2,666,"",0,0
"214402",1,"Version A","HAPPY","CAR","Study1","U",1899,2,2375,"",0,0
"960689",1,"Version A","HAPPY","CAR","Study1","U",2677,2,857,"",0,0
"w10008086",1,"Version A","HAPPY","CAR","Study1","U",4380,2,3020,"day",33.333333333333,0
"w10015958",1,"Version A","HAPPY","CAR","Study1","U",1698,2,575,"",0,0
"w10020847",1,"Version A","HAPPY","CAR","Study1","U",2946,2,2864,"PLACE",25,0
"w10033223_tag",1,"Version A","HAPPY","CAR","Study1","U",5426,2,2130,"",0,0
"W10061905",1,"Version A","HAPPY","CAR","Study1","U",10631,2,685,"",0,0
"214402",1,"Version A","HEIGHT","GROWTH","Study1","B",2843,3,6295,"growth",100,100
"960689",1,"Version A","HEIGHT","GROWTH","Study1","B",5062,3,238,"",0,0
"w10008086",1,"Version A","HEIGHT","GROWTH","Study1","B",3032,3,114666,"growth",100,100
"w10015958",1,"Version A","HEIGHT","GROWTH","Study1","B",2929,3,678,"",0,0
"w10020847",1,"Version A","HEIGHT","GROWTH","Study1","B",3609,3,2744,"WEIGHT",33.333333333333,0
"w10033223_tag",1,"Version A","HEIGHT","GROWTH","Study1","B",6379,3,3205,"",0,0
"W10061905",1,"Version A","HEIGHT","GROWTH","Study1","B",18587,3,1288,"",0,0
"214402",1,"Version A","HERD","COW","Study1","F",2251,2,2102,"cow",100,100
"960689",1,"Version A","HERD","COW","Study1","F",9670,2,353,"",0,0
"w10008086",1,"Version A","HERD","COW","Study1","F",2823,2,2398,"",0,0
"w10015958",1,"Version A","HERD","COW","Study1","F",2045,2,4454,"sheep",0,0
"w10020847",1,"Version A","HERD","COW","Study1","F",4746,2,2792,"CATS",28.571428571429,0
"w10033223_tag",1,"Version A","HERD","COW","Study1","F",4692,2,4225,"",0,0
"W10061905",1,"Version A","HERD","COW","Study1","F",4249,2,1676,"",0,0
"214402",1,"Version A","HIDE","SICK","Study1","U",2113,3,2751,"",0,0
"960689",1,"Version A","HIDE","SICK","Study1","U",3112,3,518,"",0,0
"w10008086",1,"Version A","HIDE","SICK","Study1","U",3724,3,1905,"seek",50,0
"w10015958",1,"Version A","HIDE","SICK","Study1","U",3342,3,596,"",0,0
"w10020847",1,"Version A","HIDE","SICK","Study1","U",3107,3,24271,"AND SEEK",33.333333333333,0
"w10033223_tag",1,"Version A","HIDE","SICK","Study1","U",5328,2,3257,"seek",50,0
"W10061905",1,"Version A","HIDE","SICK","Study1","U",3242,3,434,"",0,0
"214402",1,"Version A","HONEY","BEE","Study1","S",2574,4,5033,"hive",28.571428571429,0
"960689",1,"Version A","HONEY","BEE","Study1","S",2526,4,382,"",0,0
"w10008086",1,"Version A","HONEY","BEE","Study1","S",2190,4,2098,"bees",85.714285714286,100
"w10015958",1,"Version A","HONEY","BEE","Study1","S",3224,4,580,"",0,0
"w10020847",1,"Version A","HONEY","BEE","Study1","S",2224,4,2888,"BEAR",57.142857142857,0
"w10033223_tag",1,"Version A","HONEY","BEE","Study1","S",5505,4,2922,"bee",100,100
"W10061905",1,"Version A","HONEY","BEE","Study1","S",16904,4,496,"",0,0
"214402",1,"Version A","HORNET","STING","Study1","F",3646,3,3844,"sting",100,100
"960689",1,"Version A","HORNET","STING","Study1","F",4554,3,258,"",0,0
"w10008086",1,"Version A","HORNET","STING","Study1","F",3568,3,2370,"sting",100,100
"w10015958",1,"Version A","HORNET","STING","Study1","F",5114,3,4266,"bee",0,0
"w10020847",1,"Version A","HORNET","STING","Study1","F",3343,3,2193,"NEST",44.444444444444,0
"w10033223_tag",1,"Version A","HORNET","STING","Study1","F",5890,3,2934,"wasp",22.222222222222,0
"W10061905",1,"Version A","HORNET","STING","Study1","F",9450,3,250,"",0,0
"214402",1,"Version A","HOT","CHILI","Study1","B",3410,3,4229,"",0,0
"960689",1,"Version A","HOT","CHILI","Study1","B",7945,3,308,"",0,0
"w10008086",1,"Version A","HOT","CHILI","Study1","B",1951,3,1744,"cold",44.444444444444,0
"w10015958",1,"Version A","HOT","CHILI","Study1","B",3327,3,4439,"cold",44.444444444444,0
"w10020847",1,"Version A","HOT","CHILI","Study1","B",3293,3,2613,"COLD",44.444444444444,0
"w10033223_tag",1,"Version A","HOT","CHILI","Study1","B",3779,3,4365,"fire",22.222222222222,0
"W10061905",1,"Version A","HOT","CHILI","Study1","B",11748,3,595,"",0,0
"214402",1,"Version A","HUNGER","FAMINE","Study1","B",4384,5,13489,"",0,0
"960689",1,"Version A","HUNGER","FAMINE","Study1","B",3776,5,265,"",0,0
"w10008086",1,"Version A","HUNGER","FAMINE","Study1","B",4599,5,6958,"eat",22.222222222222,0
"w10015958",1,"Version A","HUNGER","FAMINE","Study1","B",3047,5,3707,"",0,0
"w10020847",1,"Version A","HUNGER","FAMINE","Study1","B",2986,5,4776,"STARVING",42.857142857143,0
"w10033223_tag",1,"Version A","HUNGER","FAMINE","Study1","B",8610,5,2953,"",0,0
"W10061905",1,"Version A","HUNGER","FAMINE","Study1","B",10369,5,594,"",0,0
"214402",1,"Version A","HYGIENE","CLEAN","Study1","F",4141,5,2194,"",0,0
"960689",1,"Version A","HYGIENE","CLEAN","Study1","F",4899,5,302,"",0,0
"w10008086",1,"Version A","HYGIENE","CLEAN","Study1","F",3866,5,5758,"clean",100,100
"w10015958",1,"Version A","HYGIENE","CLEAN","Study1","F",10566,5,546,"",0,0
